netst,stla,stlo
CI.ALP,34.68708,-118.299461
CI.ARV,35.1269,-118.830093
CI.BAI,34.776951,-118.773354
CI.BAK,35.34444,-119.104446
CI.BBR,34.262299,-116.920753
CI.BBS,33.921391,-116.980583
CI.BCW,34.94009,-119.413132
CI.BFS,34.238831,-117.658531
CI.BHP,33.990528,-118.36171
CI.BLC,34.243561,-118.673119
CI.BRE,33.807758,-117.981163
CI.BTP,34.68224,-118.573982
CI.CAR,35.308189,-119.845833
CI.CCA,35.152519,-118.016487
CI.CCC,35.524948,-117.364532
CI.CDM,34.368549,-119.341438
CI.CGO,36.5504,-117.802948
CI.CHI,34.181561,-119.222443
CI.CHK,34.067135,-118.971184
CI.CHL,33.910843,-117.683685
CI.CHR,34.729019,-119.392693
CI.CIA,33.401897,-118.415024
CI.CJM,34.271172,-117.424477
CI.CJV2,34.529781,-118.144501
CI.CKP,33.555069,-114.890404
CI.CLO,34.220379,-119.008911
CI.CLT,34.092838,-117.316872
CI.CPT2,33.341831,-117.32502
CI.CRG,35.242199,-119.724861
CI.CRR,32.886822,-115.969177
CI.CRY,34.778252,-119.628098
CI.CTC,33.655159,-115.990059
CI.CTW,33.67728,-115.872139
CI.CVW,34.922169,-118.939133
CI.CWP,33.557976,-117.557747
CI.DAN,34.637451,-115.381149
CI.DEC,34.253529,-118.333832
CI.DEV,33.93597,-116.577942
CI.DGR,33.650009,-117.009468
CI.DLA,33.848221,-118.096237
CI.DNR,33.566669,-116.630562
CI.DZA,32.606571,-116.774773
CI.EOC,34.450291,-119.769409
CI.ERR,33.116749,-115.82267
CI.FDR,35.64262,-118.934334
CI.FHO,34.093552,-116.935883
CI.FMP,33.712639,-118.293808
CI.FOX2,34.733898,-118.240463
CI.FRK,33.402088,-115.638351
CI.FUR,36.46703,-116.86322
CI.GATR,34.552662,-120.50235
CI.GDF,34.479301,-118.916763
CI.GFS,34.476604,-120.214355
CI.GLA,33.051491,-114.827057
CI.GOR,33.153702,-117.22921
CI.GOU,34.221191,-118.188339
CI.GR2,34.11816,-118.30024
CI.GRA,36.996078,-117.366211
CI.HAR,35.011398,-117.299088
CI.HDH,34.775291,-118.639992
CI.HEC,34.829399,-116.334999
CI.HHL,34.600796,-119.748581
CI.HIW,35.039982,-115.384232
CI.HLL,34.17643,-118.359673
CI.HMT2,33.708115,-117.001526
CI.HOL,34.458309,-117.84539
CI.HRV,34.727112,-118.804398
CI.HYS,34.865318,-117.569748
CI.IDO,33.79678,-116.221519
CI.IPT,34.19701,-117.284981
CI.JEM,33.080978,-116.597549
CI.JNH2,34.44894,-117.955406
CI.JPLS,34.205299,-118.173683
CI.JTH,34.126438,-116.037849
CI.JVA,34.366219,-116.612663
CI.KML,33.597382,-117.879089
CI.LAF,33.868889,-118.331429
CI.LAT,34.044491,-118.776428
CI.LCG,34.000332,-118.377937
CI.LCP,34.735512,-120.279961
CI.LDF,35.130661,-115.184158
CI.LDR,34.990601,-118.34156
CI.LFP,34.30529,-118.488052
CI.LGB,33.9753,-118.149178
CI.LJR,34.807621,-118.867752
CI.LKH,33.235981,-116.758759
CI.LLS,33.684471,-117.943039
CI.LMH,33.744179,-117.39135
CI.LMY,34.733166,-119.103912
CI.LOC,34.690735,-120.446899
CI.LPC,34.314781,-117.546417
CI.LRR2,34.527061,-118.029984
CI.LTP,33.8811,-118.175682
CI.LUC2,34.456379,-116.964233
CI.LUG,34.365601,-117.366829
CI.LUS,33.013748,-117.163048
CI.LVO,34.555798,-119.883873
CI.LVY,34.17408,-119.156357
CI.MCT,34.226452,-116.040733
CI.MGE,33.818409,-116.368736
CI.MLAC,37.630192,-118.836052
CI.MLS,34.004601,-117.561623
CI.MOP,34.28096,-118.904694
CI.MOR,33.50388,-117.139931
CI.MPI,34.81258,-119.145302
CI.MPP,34.888481,-119.813622
CI.MSC,34.038521,-116.647949
CI.MSJ,33.80801,-116.967888
CI.NBS,34.78035,-116.557983
CI.NCH,34.942699,-119.67395
CI.NEE2,34.76759,-114.618813
CI.NJQ,34.534119,-120.177368
CI.NSS2,33.555531,-115.945862
CI.OAT,34.343609,-118.614418
CI.OCP,32.747551,-116.01931
CI.OLI,33.945389,-117.923721
CI.OLP,32.607712,-116.930191
CI.OSI,34.614498,-118.723503
CI.PALA,33.38905,-117.031822
CI.PDM,34.30336,-114.141518
CI.PDU,34.120701,-117.638077
CI.PEM,34.166889,-117.870087
CI.PER,33.861641,-117.205292
CI.PGA,33.491402,-117.063499
CI.PLM,33.353611,-116.862648
CI.PLR,33.173489,-115.977745
CI.PLS,33.7953,-117.609062
CI.POB2,33.68708,-116.92382
CI.POP,34.728497,-118.394028
CI.PSD,33.823929,-116.550262
CI.PSR,34.091808,-117.807091
CI.PTD,34.004429,-118.806862
CI.PUT,34.691151,-117.969193
CI.QAD,34.423672,-119.609261
CI.QLC,35.04084,-119.974251
CI.RAG,34.682892,-116.15139
CI.RHC2,34.00095,-118.013329
CI.RIN,34.28196,-118.479248
CI.RIO,34.104729,-117.979561
CI.RKMO,33.67421,-117.609467
CI.RPV,33.743462,-118.404121
CI.RRC,35.372879,-117.989861
CI.RRX,34.874989,-116.996811
CI.RSI,34.85191,-120.208679
CI.RSS,33.97327,-117.326736
CI.RUN,32.972221,-114.978088
CI.RVR,33.993511,-117.37545
CI.RXH,33.183128,-115.622566
CI.RYS,34.64341,-119.352242
CI.SAL,33.280102,-115.985847
CI.SBC,34.440762,-119.71492
CI.SBI,33.480461,-119.029861
CI.SCI2,32.9799,-118.546967
CI.SDD,33.552589,-117.661713
CI.SDG,32.784,-117.138046
CI.SDR,32.735611,-116.942413
CI.SGL,32.64933,-115.726379
CI.SHO,35.899529,-116.275299
CI.SLB,33.485191,-115.866432
CI.SLH,33.192692,-116.25399
CI.SLM,34.452271,-118.422668
CI.SLR,33.833591,-116.797371
CI.SMF2,34.022011,-118.446274
CI.SMI,34.038181,-120.351318
CI.SMW,35.011082,-120.409973
CI.SNO,34.035149,-116.807777
CI.SOC,33.387611,-117.580132
CI.SOL2,34.436001,-118.289001
CI.SPF,34.05933,-118.646141
CI.SRN,33.828541,-117.789383
CI.SRT,35.692348,-117.750511
CI.STC,34.30302,-119.18676
CI.STS,33.790329,-118.198776
CI.SUN,34.21048,-117.693939
CI.SVD,34.106468,-117.098221
CI.SWP,32.79184,-116.097183
CI.SWS,32.94508,-115.799881
CI.SYP,34.527748,-119.97834
CI.TA2,34.38203,-117.678223
CI.THM,33.650661,-116.077339
CI.TIN,37.054218,-118.230087
CI.TOW2,35.808559,-117.764877
CI.TPO,34.87883,-118.228638
CI.TUQ,35.435841,-115.923889
CI.USC,34.019192,-118.286308
CI.VCS,34.483719,-118.117813
CI.VDJ,34.189861,-114.571449
CI.VOG,36.32098,-119.382263
CI.VTV,34.56065,-117.329597
CI.WBS,35.53664,-118.14035
CI.WES,32.759041,-115.731613
CI.WGR,34.510849,-119.274071
CI.WMD,33.038261,-115.581909
CI.WMF,36.11758,-117.854858
CI.WOR,35.695629,-118.242462
CI.WRC2,35.947899,-117.650383
CI.WSS,34.1717,-118.649712
CI.WTT2,33.948669,-118.255386
CI.WWC,33.940681,-116.40876
CI.XTL2,34.295959,-117.862488
CI.YEG2,35.438309,-119.963058
