netst,stla,stlo,geometry,index_right,NA_L3CODE,NA_L3NAME,NA_L2CODE,NA_L2NAME,NA_L1CODE,NA_L1NAME,NA_L3KEY,NA_L2KEY,NA_L1KEY,Shape_Leng,Shape_Area
CC.SWFL,46.188671,-122.202026,POINT (-122.202026 46.188671),2544,6.2.7,Cascades,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,6.2.7  Cascades,6.2  WESTERN CORDILLERA,6  NORTHWESTERN FORESTED MOUNTAINS,2397516.34339,44747444404.9
CC.VALT,46.214218,-122.189247,POINT (-122.189247 46.214218),2544,6.2.7,Cascades,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,6.2.7  Cascades,6.2  WESTERN CORDILLERA,6  NORTHWESTERN FORESTED MOUNTAINS,2397516.34339,44747444404.9
TA.A04A,48.7197,-122.707001,POINT (-122.707001 48.7197),1468,7.1.7,Strait of Georgia/Puget Lowland,7.1,MARINE WEST COAST FOREST,7,MARINE WEST COAST FOREST,7.1.7  Strait of Georgia/Puget Lowland,7.1  MARINE WEST COAST FOREST,7  MARINE WEST COAST FOREST,34637.8826101,23390062.0636
TA.A05A,48.998299,-122.085197,POINT (-122.085197 48.998299),1145,6.2.5,North Cascades,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,6.2.5  North Cascades,6.2  WESTERN CORDILLERA,6  NORTHWESTERN FORESTED MOUNTAINS,1359680.28228,35164052009.7
TA.A06A,49.098301,-121.4804,POINT (-121.4804 49.098301),1145,6.2.5,North Cascades,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,6.2.5  North Cascades,6.2  WESTERN CORDILLERA,6  NORTHWESTERN FORESTED MOUNTAINS,1359680.28228,35164052009.7
TA.A10A,48.9813,-117.558601,POINT (-117.558601 48.9813),1141,6.2.3,Columbia Mountains/Northern Rockies,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,6.2.3  Columbia Mountains/Northern Rockies,6.2  WESTERN CORDILLERA,6  NORTHWESTERN FORESTED MOUNTAINS,4035441.6383,178711089415.0
TA.A12A,48.933899,-115.652603,POINT (-115.652603 48.933899),1141,6.2.3,Columbia Mountains/Northern Rockies,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,6.2.3  Columbia Mountains/Northern Rockies,6.2  WESTERN CORDILLERA,6  NORTHWESTERN FORESTED MOUNTAINS,4035441.6383,178711089415.0
TA.A13A,48.932999,-114.413498,POINT (-114.413498 48.932999),1142,6.2.4,Canadian Rockies,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,6.2.4  Canadian Rockies,6.2  WESTERN CORDILLERA,6  NORTHWESTERN FORESTED MOUNTAINS,3553150.36602,104576364956.0
TA.B04A,48.057499,-123.503998,POINT (-123.503998 48.057499),1515,7.1.8,Coast Range,7.1,MARINE WEST COAST FOREST,7,MARINE WEST COAST FOREST,7.1.8  Coast Range,7.1  MARINE WEST COAST FOREST,7  MARINE WEST COAST FOREST,4695300.85742,52253838739.3
TA.B05A,48.264099,-122.096001,POINT (-122.096001 48.264099),1492,7.1.7,Strait of Georgia/Puget Lowland,7.1,MARINE WEST COAST FOREST,7,MARINE WEST COAST FOREST,7.1.7  Strait of Georgia/Puget Lowland,7.1  MARINE WEST COAST FOREST,7  MARINE WEST COAST FOREST,2131725.94873,14361827609.9
TA.B10A,48.2995,-117.225197,POINT (-117.225197 48.2995),1141,6.2.3,Columbia Mountains/Northern Rockies,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,6.2.3  Columbia Mountains/Northern Rockies,6.2  WESTERN CORDILLERA,6  NORTHWESTERN FORESTED MOUNTAINS,4035441.6383,178711089415.0
TA.B12A,48.469398,-115.588898,POINT (-115.588898 48.469398),1141,6.2.3,Columbia Mountains/Northern Rockies,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,6.2.3  Columbia Mountains/Northern Rockies,6.2  WESTERN CORDILLERA,6  NORTHWESTERN FORESTED MOUNTAINS,4035441.6383,178711089415.0
TA.B13A,48.373901,-114.467598,POINT (-114.467598 48.373901),1141,6.2.3,Columbia Mountains/Northern Rockies,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,6.2.3  Columbia Mountains/Northern Rockies,6.2  WESTERN CORDILLERA,6  NORTHWESTERN FORESTED MOUNTAINS,4035441.6383,178711089415.0
TA.B14A,48.360901,-113.272903,POINT (-113.272903 48.360901),1142,6.2.4,Canadian Rockies,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,6.2.4  Canadian Rockies,6.2  WESTERN CORDILLERA,6  NORTHWESTERN FORESTED MOUNTAINS,3553150.36602,104576364956.0
TA.B16A,48.4128,-111.707298,POINT (-111.707298 48.4128),2412,9.3.1,Northwestern Glaciated Plains,9.3,WEST-CENTRAL SEMIARID PRAIRIES,9,GREAT PLAINS,9.3.1  Northwestern Glaciated Plains,9.3  WEST-CENTRAL SEMIARID PRAIRIES,9  GREAT PLAINS,9021842.55409,404339355895.0
TA.B17A,48.292099,-110.798798,POINT (-110.798798 48.292099),2412,9.3.1,Northwestern Glaciated Plains,9.3,WEST-CENTRAL SEMIARID PRAIRIES,9,GREAT PLAINS,9.3.1  Northwestern Glaciated Plains,9.3  WEST-CENTRAL SEMIARID PRAIRIES,9  GREAT PLAINS,9021842.55409,404339355895.0
TA.C04A,47.717201,-122.971802,POINT (-122.971802 47.717201),1515,7.1.8,Coast Range,7.1,MARINE WEST COAST FOREST,7,MARINE WEST COAST FOREST,7.1.8  Coast Range,7.1  MARINE WEST COAST FOREST,7  MARINE WEST COAST FOREST,4695300.85742,52253838739.3
TA.C05A,47.694698,-121.689499,POINT (-121.689499 47.694698),1145,6.2.5,North Cascades,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,6.2.5  North Cascades,6.2  WESTERN CORDILLERA,6  NORTHWESTERN FORESTED MOUNTAINS,1359680.28228,35164052009.7
TA.C08A,47.784901,-119.045403,POINT (-119.045403 47.784901),60,10.1.2,Columbia Plateau,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,10.1.2  Columbia Plateau,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2889543.18764,81830013715.6
TA.C10A,47.819199,-117.307701,POINT (-117.307701 47.819199),1141,6.2.3,Columbia Mountains/Northern Rockies,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,6.2.3  Columbia Mountains/Northern Rockies,6.2  WESTERN CORDILLERA,6  NORTHWESTERN FORESTED MOUNTAINS,4035441.6383,178711089415.0
TA.C12B,47.709202,-115.474998,POINT (-115.474998 47.709202),1141,6.2.3,Columbia Mountains/Northern Rockies,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,6.2.3  Columbia Mountains/Northern Rockies,6.2  WESTERN CORDILLERA,6  NORTHWESTERN FORESTED MOUNTAINS,4035441.6383,178711089415.0
TA.C14A,47.7687,-113.746803,POINT (-113.746803 47.7687),1142,6.2.4,Canadian Rockies,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,6.2.4  Canadian Rockies,6.2  WESTERN CORDILLERA,6  NORTHWESTERN FORESTED MOUNTAINS,3553150.36602,104576364956.0
TA.D06A,47.193501,-120.844498,POINT (-120.844498 47.193501),1145,6.2.5,North Cascades,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,6.2.5  North Cascades,6.2  WESTERN CORDILLERA,6  NORTHWESTERN FORESTED MOUNTAINS,1359680.28228,35164052009.7
TA.D15A,47.041801,-112.520401,POINT (-112.520401 47.041801),1124,6.2.10,Middle Rockies,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,6.2.10  Middle Rockies,6.2  WESTERN CORDILLERA,6  NORTHWESTERN FORESTED MOUNTAINS,3915892.32608,133877982186.0
TA.E04A,46.593399,-122.720398,POINT (-122.720398 46.593399),1492,7.1.7,Strait of Georgia/Puget Lowland,7.1,MARINE WEST COAST FOREST,7,MARINE WEST COAST FOREST,7.1.7  Strait of Georgia/Puget Lowland,7.1  MARINE WEST COAST FOREST,7  MARINE WEST COAST FOREST,2131725.94873,14361827609.9
TA.E07A,46.558498,-119.854797,POINT (-119.854797 46.558498),60,10.1.2,Columbia Plateau,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,10.1.2  Columbia Plateau,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2889543.18764,81830013715.6
TA.E10A,46.485001,-117.110199,POINT (-117.110199 46.485001),60,10.1.2,Columbia Plateau,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,10.1.2  Columbia Plateau,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2889543.18764,81830013715.6
TA.E13A,46.442299,-114.188004,POINT (-114.188004 46.442299),1124,6.2.10,Middle Rockies,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,6.2.10  Middle Rockies,6.2  WESTERN CORDILLERA,6  NORTHWESTERN FORESTED MOUNTAINS,3915892.32608,133877982186.0
TA.E14A,46.416199,-113.492599,POINT (-113.492599 46.416199),1124,6.2.10,Middle Rockies,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,6.2.10  Middle Rockies,6.2  WESTERN CORDILLERA,6  NORTHWESTERN FORESTED MOUNTAINS,3915892.32608,133877982186.0
TA.E16A,46.5336,-111.676399,POINT (-111.676399 46.5336),1124,6.2.10,Middle Rockies,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,6.2.10  Middle Rockies,6.2  WESTERN CORDILLERA,6  NORTHWESTERN FORESTED MOUNTAINS,3915892.32608,133877982186.0
TA.ELFS,40.618301,-120.727898,POINT (-120.727898 40.618301),1131,6.2.12,Sierra Nevada,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,6.2.12  Sierra Nevada,6.2  WESTERN CORDILLERA,6  NORTHWESTERN FORESTED MOUNTAINS,1731355.29084,52706853090.9
TA.F03A,45.930599,-123.559097,POINT (-123.559097 45.930599),1515,7.1.8,Coast Range,7.1,MARINE WEST COAST FOREST,7,MARINE WEST COAST FOREST,7.1.8  Coast Range,7.1  MARINE WEST COAST FOREST,7  MARINE WEST COAST FOREST,4695300.85742,52253838739.3
TA.F04A,45.932499,-122.419296,POINT (-122.419296 45.932499),2544,6.2.7,Cascades,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,6.2.7  Cascades,6.2  WESTERN CORDILLERA,6  NORTHWESTERN FORESTED MOUNTAINS,2397516.34339,44747444404.9
TA.F05A,45.8839,-121.458801,POINT (-121.458801 45.8839),2545,6.2.8,Eastern Cascades Slopes and Foothills,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,6.2.8  Eastern Cascades Slopes and Foothills,6.2  WESTERN CORDILLERA,6  NORTHWESTERN FORESTED MOUNTAINS,2794959.13771,56079036225.5
TA.F06A,45.766399,-120.7817,POINT (-120.7817 45.766399),60,10.1.2,Columbia Plateau,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,10.1.2  Columbia Plateau,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2889543.18764,81830013715.6
TA.F07A,45.8951,-119.927803,POINT (-119.927803 45.8951),60,10.1.2,Columbia Plateau,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,10.1.2  Columbia Plateau,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2889543.18764,81830013715.6
TA.F11A,45.888302,-116.1549,POINT (-116.1549 45.888302),1139,6.2.15,Idaho Batholith,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,6.2.15  Idaho Batholith,6.2  WESTERN CORDILLERA,6  NORTHWESTERN FORESTED MOUNTAINS,1829033.88215,60150665488.2
TA.F14A,45.812199,-113.369904,POINT (-113.369904 45.812199),1124,6.2.10,Middle Rockies,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,6.2.10  Middle Rockies,6.2  WESTERN CORDILLERA,6  NORTHWESTERN FORESTED MOUNTAINS,3915892.32608,133877982186.0
TA.F16A,45.784302,-111.626198,POINT (-111.626198 45.784302),1124,6.2.10,Middle Rockies,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,6.2.10  Middle Rockies,6.2  WESTERN CORDILLERA,6  NORTHWESTERN FORESTED MOUNTAINS,3915892.32608,133877982186.0
TA.G03A,45.3153,-123.281097,POINT (-123.281097 45.3153),1516,7.1.9,Willamette Valley,7.1,MARINE WEST COAST FOREST,7,MARINE WEST COAST FOREST,7.1.9  Willamette Valley,7.1  MARINE WEST COAST FOREST,7  MARINE WEST COAST FOREST,1128580.42889,14851953389.1
TA.G04A,45.205898,-122.478401,POINT (-122.478401 45.205898),1516,7.1.9,Willamette Valley,7.1,MARINE WEST COAST FOREST,7,MARINE WEST COAST FOREST,7.1.9  Willamette Valley,7.1  MARINE WEST COAST FOREST,7  MARINE WEST COAST FOREST,1128580.42889,14851953389.1
TA.G06A,45.235699,-120.635101,POINT (-120.635101 45.235699),60,10.1.2,Columbia Plateau,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,10.1.2  Columbia Plateau,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2889543.18764,81830013715.6
TA.G14A,45.243198,-113.460403,POINT (-113.460403 45.243198),1124,6.2.10,Middle Rockies,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,6.2.10  Middle Rockies,6.2  WESTERN CORDILLERA,6  NORTHWESTERN FORESTED MOUNTAINS,3915892.32608,133877982186.0
TA.G15A,45.166,-112.488701,POINT (-112.488701 45.166),1124,6.2.10,Middle Rockies,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,6.2.10  Middle Rockies,6.2  WESTERN CORDILLERA,6  NORTHWESTERN FORESTED MOUNTAINS,3915892.32608,133877982186.0
TA.G17A,45.321201,-110.739799,POINT (-110.739799 45.321201),1124,6.2.10,Middle Rockies,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,6.2.10  Middle Rockies,6.2  WESTERN CORDILLERA,6  NORTHWESTERN FORESTED MOUNTAINS,3915892.32608,133877982186.0
TA.H02A,44.676399,-123.999702,POINT (-123.999702 44.676399),1515,7.1.8,Coast Range,7.1,MARINE WEST COAST FOREST,7,MARINE WEST COAST FOREST,7.1.8  Coast Range,7.1  MARINE WEST COAST FOREST,7  MARINE WEST COAST FOREST,4695300.85742,52253838739.3
TA.H04A,44.683701,-122.186203,POINT (-122.186203 44.683701),2544,6.2.7,Cascades,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,6.2.7  Cascades,6.2  WESTERN CORDILLERA,6  NORTHWESTERN FORESTED MOUNTAINS,2397516.34339,44747444404.9
TA.H05A,44.647301,-121.227097,POINT (-121.227097 44.647301),1147,6.2.9,Blue Mountains,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,6.2.9  Blue Mountains,6.2  WESTERN CORDILLERA,6  NORTHWESTERN FORESTED MOUNTAINS,2071150.30246,70756834089.5
TA.H07A,44.591301,-119.564598,POINT (-119.564598 44.591301),1147,6.2.9,Blue Mountains,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,6.2.9  Blue Mountains,6.2  WESTERN CORDILLERA,6  NORTHWESTERN FORESTED MOUNTAINS,2071150.30246,70756834089.5
TA.H09A,44.665298,-117.664299,POINT (-117.664299 44.665298),1147,6.2.9,Blue Mountains,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,6.2.9  Blue Mountains,6.2  WESTERN CORDILLERA,6  NORTHWESTERN FORESTED MOUNTAINS,2071150.30246,70756834089.5
TA.H16A,44.7038,-111.247803,POINT (-111.247803 44.7038),1124,6.2.10,Middle Rockies,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,6.2.10  Middle Rockies,6.2  WESTERN CORDILLERA,6  NORTHWESTERN FORESTED MOUNTAINS,3915892.32608,133877982186.0
TA.H17A,44.3951,-110.576202,POINT (-110.576202 44.3951),1124,6.2.10,Middle Rockies,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,6.2.10  Middle Rockies,6.2  WESTERN CORDILLERA,6  NORTHWESTERN FORESTED MOUNTAINS,3915892.32608,133877982186.0
TA.I02A,44.003502,-123.829903,POINT (-123.829903 44.003502),1515,7.1.8,Coast Range,7.1,MARINE WEST COAST FOREST,7,MARINE WEST COAST FOREST,7.1.8  Coast Range,7.1  MARINE WEST COAST FOREST,7  MARINE WEST COAST FOREST,4695300.85742,52253838739.3
TA.I05A,44.162601,-121.267502,POINT (-121.267502 44.162601),1147,6.2.9,Blue Mountains,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,6.2.9  Blue Mountains,6.2  WESTERN CORDILLERA,6  NORTHWESTERN FORESTED MOUNTAINS,2071150.30246,70756834089.5
TA.I08A,43.9104,-118.569199,POINT (-118.569199 43.9104),61,10.1.3,Northern Basin and Range,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,10.1.3  Northern Basin and Range,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,4208600.93886,141987909484.0
TA.I15A,43.999699,-112.485001,POINT (-112.485001 43.999699),66,10.1.8,Snake River Plain,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,10.1.8  Snake River Plain,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2147854.37051,53527361972.9
TA.I16A,43.875599,-111.486801,POINT (-111.486801 43.875599),66,10.1.8,Snake River Plain,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,10.1.8  Snake River Plain,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2147854.37051,53527361972.9
TA.I17A,43.919998,-110.575897,POINT (-110.575897 43.919998),1124,6.2.10,Middle Rockies,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,6.2.10  Middle Rockies,6.2  WESTERN CORDILLERA,6  NORTHWESTERN FORESTED MOUNTAINS,3915892.32608,133877982186.0
TA.J04A,43.240601,-122.109299,POINT (-122.109299 43.240601),2544,6.2.7,Cascades,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,6.2.7  Cascades,6.2  WESTERN CORDILLERA,6  NORTHWESTERN FORESTED MOUNTAINS,2397516.34339,44747444404.9
TA.J10A,43.427502,-116.766998,POINT (-116.766998 43.427502),66,10.1.8,Snake River Plain,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,10.1.8  Snake River Plain,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2147854.37051,53527361972.9
TA.J16A,43.274101,-111.6119,POINT (-111.6119 43.274101),1124,6.2.10,Middle Rockies,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,6.2.10  Middle Rockies,6.2  WESTERN CORDILLERA,6  NORTHWESTERN FORESTED MOUNTAINS,3915892.32608,133877982186.0
TA.J17A,43.3629,-110.7118,POINT (-110.7118 43.3629),1124,6.2.10,Middle Rockies,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,6.2.10  Middle Rockies,6.2  WESTERN CORDILLERA,6  NORTHWESTERN FORESTED MOUNTAINS,3915892.32608,133877982186.0
TA.K04A,42.6133,-121.730698,POINT (-121.730698 42.6133),2545,6.2.8,Eastern Cascades Slopes and Foothills,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,6.2.8  Eastern Cascades Slopes and Foothills,6.2  WESTERN CORDILLERA,6  NORTHWESTERN FORESTED MOUNTAINS,2794959.13771,56079036225.5
TA.K04D,42.624599,-121.753502,POINT (-121.753502 42.624599),2545,6.2.8,Eastern Cascades Slopes and Foothills,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,6.2.8  Eastern Cascades Slopes and Foothills,6.2  WESTERN CORDILLERA,6  NORTHWESTERN FORESTED MOUNTAINS,2794959.13771,56079036225.5
TA.K14A,42.5452,-113.176003,POINT (-113.176003 42.5452),61,10.1.3,Northern Basin and Range,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,10.1.3  Northern Basin and Range,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,4208600.93886,141987909484.0
TA.K15A,42.6852,-112.530502,POINT (-112.530502 42.6852),61,10.1.3,Northern Basin and Range,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,10.1.3  Northern Basin and Range,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,4208600.93886,141987909484.0
TA.K16A,42.8321,-111.588402,POINT (-111.588402 42.8321),61,10.1.3,Northern Basin and Range,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,10.1.3  Northern Basin and Range,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,4208600.93886,141987909484.0
TA.L04A,42.174999,-121.890999,POINT (-121.890999 42.174999),2545,6.2.8,Eastern Cascades Slopes and Foothills,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,6.2.8  Eastern Cascades Slopes and Foothills,6.2  WESTERN CORDILLERA,6  NORTHWESTERN FORESTED MOUNTAINS,2794959.13771,56079036225.5
TA.L09A,42.019199,-117.666702,POINT (-117.666702 42.019199),61,10.1.3,Northern Basin and Range,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,10.1.3  Northern Basin and Range,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,4208600.93886,141987909484.0
TA.L13A,42.0886,-113.944397,POINT (-113.944397 42.0886),61,10.1.3,Northern Basin and Range,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,10.1.3  Northern Basin and Range,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,4208600.93886,141987909484.0
TA.L14A,42.034302,-113.239799,POINT (-113.239799 42.034302),61,10.1.3,Northern Basin and Range,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,10.1.3  Northern Basin and Range,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,4208600.93886,141987909484.0
TA.L15A,42.004101,-112.386002,POINT (-112.386002 42.004101),63,10.1.5,Central Basin and Range,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,10.1.5  Central Basin and Range,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,4409188.47266,309681003905.0
TA.L16A,42.0149,-111.4319,POINT (-111.4319 42.0149),1134,6.2.13,Wasatch and Uinta Mountains,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,6.2.13  Wasatch and Uinta Mountains,6.2  WESTERN CORDILLERA,6  NORTHWESTERN FORESTED MOUNTAINS,2717065.54222,44678392571.1
TA.L17A,42.099499,-110.872704,POINT (-110.872704 42.099499),62,10.1.4,Wyoming Basin,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,10.1.4  Wyoming Basin,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,3743946.64726,132466909369.0
TA.M03C,41.2742,-122.122002,POINT (-122.122002 41.2742),2541,6.2.7,Cascades,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,6.2.7  Cascades,6.2  WESTERN CORDILLERA,6  NORTHWESTERN FORESTED MOUNTAINS,139964.285281,1478892967.79
TA.M04C,41.7826,-121.839302,POINT (-121.839302 41.7826),2545,6.2.8,Eastern Cascades Slopes and Foothills,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,6.2.8  Eastern Cascades Slopes and Foothills,6.2  WESTERN CORDILLERA,6  NORTHWESTERN FORESTED MOUNTAINS,2794959.13771,56079036225.5
TA.M05C,41.359299,-121.145699,POINT (-121.145699 41.359299),2545,6.2.8,Eastern Cascades Slopes and Foothills,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,6.2.8  Eastern Cascades Slopes and Foothills,6.2  WESTERN CORDILLERA,6  NORTHWESTERN FORESTED MOUNTAINS,2794959.13771,56079036225.5
TA.M06C,41.2047,-120.477203,POINT (-120.477203 41.2047),2545,6.2.8,Eastern Cascades Slopes and Foothills,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,6.2.8  Eastern Cascades Slopes and Foothills,6.2  WESTERN CORDILLERA,6  NORTHWESTERN FORESTED MOUNTAINS,2794959.13771,56079036225.5
